feature,model,out,mean_abs_impact,feat_shap_corr,feat_shap_spear,feat_shap_corr_org,rank
HFP_sp2_pt1_cardio,LR,IV_fm1_actrhythm,0.4406952993118207,-0.9995879193340732,-0.9989331323229874,-0.9995879193340732,1
HFP_p_pt1_cardio,LR,IV_fm1_actrhythm,0.34426796697415796,0.9973854898088085,0.9966741613973426,0.9973854898088085,2
HFP_r_pt1_mean_cardio,LR,IV_fm1_actrhythm,0.2581949995680518,0.9978542723275693,0.9978747158076663,0.9978542723275693,3
PC2,LR,IV_fm1_actrhythm,0.22683174804060777,-0.9730866465382243,-0.9689533829131145,-0.9730866465382243,4
HFP_sp2_fm1_cardio,LR,IV_fm1_actrhythm,0.2210219936960899,0.9965736612573155,0.9975643785835809,0.9965736612573155,5
HFP_b_fm1_cardio,LR,IV_fm1_actrhythm,0.2164482918539275,-0.9933100354698057,-0.9954695639662234,-0.9933100354698057,6
HFP_s_pt1_cardio,LR,IV_fm1_actrhythm,0.2136264570793648,-0.9935576113022968,-0.9965751946564445,-0.9935576113022968,7
HFP_s_fm1_cardio,LR,IV_fm1_actrhythm,0.196801491802305,0.9944274331514869,0.9965618117654209,0.9944274331514869,8
PC4,LR,IV_fm1_actrhythm,0.14064172633418182,0.38550278211664707,0.3288372936695084,0.38550278211664707,9
gamma_sp1_fm1_clo,LR,IV_fm1_actrhythm,0.12959433860979166,0.9957068482574374,0.9966717558419369,0.9957068482574374,10
HFP_sp1_fm1_cardio,LR,IV_fm1_actrhythm,0.12650976709985673,-0.991893771457454,-0.9933607425445045,-0.991893771457454,11
HFP_b_pt1_cardio,LR,IV_fm1_actrhythm,0.10926932148386813,0.9837463458307114,0.990950300312086,0.9837463458307114,12
coag_b_fm1_co,LR,IV_fm1_actrhythm,0.09185614759344432,0.9912759788010383,0.9959926911212571,0.9912759788010383,13
PC1,LR,IV_fm1_actrhythm,0.09060749722061841,0.9916099413215074,0.9911327690306715,0.9916099413215074,14
HFP_p_fm1_cardio,LR,IV_fm1_actrhythm,0.08282526733457798,-0.9858841523565539,-0.9909602476783228,-0.9858841523565539,15
coag_sp2_fm1_co,LR,IV_fm1_actrhythm,0.08153544282271098,-0.9921485985974112,-0.9938096331737047,-0.9921485985974112,16
PC15,LR,IV_fm1_actrhythm,0.06774396791010852,,0.21875929620896067,0.131665037759094,17
coag_r_fm1_co,LR,IV_fm1_actrhythm,0.06007960589366532,0.9800527213787367,0.9936720382163363,0.9800527213787367,18
PC16,LR,IV_fm1_actrhythm,0.05837294650734683,0.8959682639484456,0.9443787411572647,0.8959682639484456,19
PC12,LR,IV_fm1_actrhythm,0.04380174694302454,-0.6879368216841607,-0.8108108108108107,-0.6879368216841607,20
gamma_sp1_pt1_clo,LR,IV_fm1_actrhythm,0.040704864602932336,-0.9804299673086542,-0.9700581221855047,-0.9804299673086542,21
PC6,LR,IV_fm1_actrhythm,0.03787577580960194,0.9589136455851748,0.9698458189733359,0.9589136455851748,22
PC20,LR,IV_fm1_actrhythm,0.034674527594827254,-0.24821287585914759,-0.24626519136586253,-0.24821287585914759,23
PC21,LR,IV_fm1_actrhythm,0.032162337969103165,0.6423037200902916,0.3247511048796488,0.6423037200902916,24
PC19,LR,IV_fm1_actrhythm,0.02963374521725173,,,0.09574348442326808,25
HFP_r_fm1_mean_cardio,LR,IV_fm1_actrhythm,0.028342313585662065,-0.7953698329930607,-0.8416465098824079,-0.7953698329930607,26
PC17,LR,IV_fm1_actrhythm,0.02767093001381815,0.38572776658291374,0.20746961726827498,0.38572776658291374,27
